# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Feb  5 03:55:21 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# The uncertainty in the global monthly mean is estimated using a
# a monte carlo technique that computes 200 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA GML cooperative air sampling network.  The
# reported uncertainty is the mean of the standard deviations
# for each monthly mean using this technique.  Please see Conway et al.,
# 1994, JGR, vol. 99, no. D11. for a complete discussion.  Units are ppm.
#
# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also be changed for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1990,8,1990.625,351.58,0.10,354.09,0.06
1990,9,1990.708,351.79,0.06,354.31,0.06
1990,10,1990.792,353.19,0.08,354.60,0.06
1990,11,1990.875,354.45,0.11,354.70,0.06
1990,12,1990.958,355.19,0.07,354.76,0.06
1991,1,1991.042,355.76,0.07,354.96,0.06
1991,2,1991.125,356.19,0.07,355.10,0.06
1991,3,1991.208,356.68,0.09,355.25,0.06
1991,4,1991.292,357.19,0.11,355.44,0.06
1991,5,1991.375,357.11,0.11,355.48,0.06
1991,6,1991.458,356.17,0.08,355.56,0.07
1991,7,1991.542,354.53,0.12,355.65,0.07
1991,8,1991.625,353.05,0.14,355.56,0.07
1991,9,1991.708,352.93,0.10,355.45,0.07
1991,10,1991.792,354.00,0.10,355.41,0.07
1991,11,1991.875,355.16,0.11,355.38,0.07
1991,12,1991.958,355.95,0.11,355.49,0.07
1992,1,1992.042,356.54,0.09,355.72,0.07
1992,2,1992.125,356.89,0.09,355.78,0.07
1992,3,1992.208,357.26,0.08,355.79,0.07
1992,4,1992.292,357.75,0.09,355.96,0.07
1992,5,1992.375,357.82,0.10,356.19,0.07
1992,6,1992.458,356.87,0.08,356.27,0.07
1992,7,1992.542,355.18,0.11,356.34,0.07
1992,8,1992.625,353.67,0.13,356.22,0.07
1992,9,1992.708,353.58,0.14,356.14,0.07
1992,10,1992.792,354.81,0.09,356.21,0.07
1992,11,1992.875,355.99,0.09,356.20,0.07
1992,12,1992.958,356.74,0.09,356.27,0.07
1993,1,1993.042,357.21,0.10,356.36,0.07
1993,2,1993.125,357.54,0.11,356.39,0.07
1993,3,1993.208,357.96,0.11,356.51,0.07
1993,4,1993.292,358.43,0.11,356.66,0.07
1993,5,1993.375,358.38,0.12,356.73,0.07
1993,6,1993.458,357.34,0.10,356.68,0.07
1993,7,1993.542,355.72,0.13,356.74,0.07
1993,8,1993.625,354.44,0.14,356.91,0.07
1993,9,1993.708,354.47,0.08,357.05,0.07
1993,10,1993.792,355.70,0.09,357.19,0.07
1993,11,1993.875,356.95,0.09,357.29,0.07
1993,12,1993.958,357.86,0.10,357.49,0.07
1994,1,1994.042,358.48,0.10,357.62,0.07
1994,2,1994.125,359.00,0.10,357.85,0.08
1994,3,1994.208,359.36,0.09,357.90,0.08
1994,4,1994.292,359.71,0.10,357.92,0.08
1994,5,1994.375,359.74,0.13,358.06,0.08
1994,6,1994.458,358.80,0.10,358.10,0.08
1994,7,1994.542,357.27,0.10,358.26,0.08
1994,8,1994.625,356.05,0.12,358.56,0.07
1994,9,1994.708,356.02,0.08,358.67,0.07
1994,10,1994.792,357.26,0.08,358.80,0.07
1994,11,1994.875,358.69,0.10,359.03,0.06
1994,12,1994.958,359.54,0.12,359.15,0.06
1995,1,1995.042,360.13,0.10,359.27,0.06
1995,2,1995.125,360.61,0.11,359.51,0.05
1995,3,1995.208,361.08,0.09,359.70,0.05
1995,4,1995.292,361.55,0.07,359.85,0.05
1995,5,1995.375,361.47,0.08,359.84,0.05
1995,6,1995.458,360.61,0.07,359.93,0.05
1995,7,1995.542,358.99,0.08,359.99,0.05
1995,8,1995.625,357.73,0.12,360.20,0.05
1995,9,1995.708,358.05,0.08,360.64,0.05
1995,10,1995.792,359.42,0.08,360.89,0.05
1995,11,1995.875,360.77,0.07,361.04,0.05
1995,12,1995.958,361.65,0.05,361.20,0.04
1996,1,1996.042,362.14,0.05,361.23,0.04
1996,2,1996.125,362.50,0.08,361.33,0.04
1996,3,1996.208,362.82,0.10,361.40,0.04
1996,4,1996.292,363.14,0.09,361.42,0.04
1996,5,1996.375,363.29,0.08,361.68,0.04
1996,6,1996.458,362.88,0.06,362.23,0.04
1996,7,1996.542,361.57,0.07,362.61,0.04
1996,8,1996.625,360.07,0.09,362.57,0.04
1996,9,1996.708,359.70,0.10,362.31,0.04
1996,10,1996.792,360.67,0.07,362.15,0.04
1996,11,1996.875,361.78,0.06,362.09,0.04
1996,12,1996.958,362.63,0.07,362.19,0.04
1997,1,1997.042,363.28,0.06,362.34,0.04
1997,2,1997.125,363.63,0.08,362.46,0.04
1997,3,1997.208,364.02,0.09,362.62,0.05
1997,4,1997.292,364.50,0.10,362.81,0.05
1997,5,1997.375,364.51,0.09,362.93,0.05
1997,6,1997.458,363.60,0.08,362.97,0.05
1997,7,1997.542,361.93,0.10,362.96,0.05
1997,8,1997.625,360.41,0.09,362.89,0.05
1997,9,1997.708,360.40,0.07,363.01,0.05
1997,10,1997.792,361.94,0.06,363.41,0.05
1997,11,1997.875,363.61,0.09,363.90,0.05
1997,12,1997.958,364.68,0.09,364.21,0.05
1998,1,1998.042,365.19,0.09,364.26,0.05
1998,2,1998.125,365.46,0.09,364.31,0.05
1998,3,1998.208,365.93,0.09,364.54,0.04
1998,4,1998.292,366.58,0.07,364.91,0.04
1998,5,1998.375,366.86,0.07,365.32,0.04
1998,6,1998.458,366.27,0.06,365.67,0.04
1998,7,1998.542,364.84,0.09,365.88,0.04
1998,8,1998.625,363.79,0.09,366.28,0.04
1998,9,1998.708,364.04,0.06,366.61,0.04
1998,10,1998.792,365.34,0.07,366.78,0.04
1998,11,1998.875,366.60,0.07,366.85,0.04
1998,12,1998.958,367.47,0.05,366.97,0.04
1999,1,1999.042,368.11,0.08,367.18,0.04
1999,2,1999.125,368.51,0.10,367.37,0.04
1999,3,1999.208,368.91,0.10,367.52,0.05
1999,4,1999.292,369.29,0.09,367.64,0.05
1999,5,1999.375,369.21,0.08,367.70,0.05
1999,6,1999.458,368.36,0.06,367.79,0.05
1999,7,1999.542,366.69,0.11,367.74,0.05
1999,8,1999.625,365.33,0.15,367.79,0.06
1999,9,1999.708,365.45,0.12,367.99,0.06
1999,10,1999.792,366.75,0.08,368.18,0.06
1999,11,1999.875,368.04,0.08,368.27,0.06
1999,12,1999.958,368.88,0.08,368.36,0.06
2000,1,2000.042,369.39,0.10,368.47,0.06
2000,2,2000.125,369.65,0.12,368.51,0.06
2000,3,2000.208,369.97,0.11,368.57,0.06
2000,4,2000.292,370.35,0.10,368.67,0.06
2000,5,2000.375,370.24,0.09,368.71,0.06
2000,6,2000.458,369.31,0.07,368.78,0.06
2000,7,2000.542,367.91,0.12,369.05,0.06
2000,8,2000.625,366.76,0.14,369.27,0.06
2000,9,2000.708,366.71,0.11,369.25,0.06
2000,10,2000.792,367.91,0.08,369.31,0.06
2000,11,2000.875,369.28,0.09,369.44,0.06
2000,12,2000.958,370.10,0.09,369.54,0.06
2001,1,2001.042,370.69,0.09,369.79,0.06
2001,2,2001.125,371.18,0.12,370.03,0.06
2001,3,2001.208,371.59,0.11,370.17,0.06
2001,4,2001.292,371.90,0.08,370.22,0.05
2001,5,2001.375,371.80,0.07,370.27,0.05
2001,6,2001.458,370.85,0.06,370.32,0.05
2001,7,2001.542,369.46,0.09,370.57,0.05
2001,8,2001.625,368.32,0.10,370.80,0.05
2001,9,2001.708,368.36,0.08,370.88,0.04
2001,10,2001.792,369.71,0.09,371.11,0.04
2001,11,2001.875,371.05,0.08,371.25,0.04
2001,12,2001.958,371.97,0.12,371.46,0.04
2002,1,2002.042,372.51,0.09,371.56,0.05
2002,2,2002.125,372.91,0.07,371.65,0.05
2002,3,2002.208,373.38,0.08,371.86,0.05
2002,4,2002.292,373.73,0.09,371.96,0.05
2002,5,2002.375,373.71,0.08,372.13,0.05
2002,6,2002.458,372.84,0.06,372.30,0.05
2002,7,2002.542,371.41,0.07,372.54,0.04
2002,8,2002.625,370.35,0.08,372.89,0.04
2002,9,2002.708,370.67,0.08,373.29,0.04
2002,10,2002.792,371.95,0.08,373.44,0.04
2002,11,2002.875,373.28,0.08,373.58,0.04
2002,12,2002.958,374.26,0.11,373.80,0.04
2003,1,2003.042,374.94,0.09,373.95,0.04
2003,2,2003.125,375.47,0.09,374.13,0.04
2003,3,2003.208,375.91,0.08,374.34,0.04
2003,4,2003.292,376.39,0.07,374.60,0.04
2003,5,2003.375,376.55,0.09,374.95,0.05
2003,6,2003.458,375.71,0.07,375.16,0.05
2003,7,2003.542,374.16,0.08,375.31,0.05
2003,8,2003.625,372.93,0.13,375.52,0.05
2003,9,2003.708,373.09,0.10,375.77,0.05
2003,10,2003.792,374.36,0.08,375.90,0.05
2003,11,2003.875,375.66,0.07,376.00,0.05
2003,12,2003.958,376.52,0.06,376.09,0.05
2004,1,2004.042,377.21,0.07,376.23,0.05
2004,2,2004.125,377.73,0.10,376.41,0.05
2004,3,2004.208,378.16,0.09,376.56,0.05
2004,4,2004.292,378.48,0.08,376.68,0.05
2004,5,2004.375,378.40,0.10,376.81,0.05
2004,6,2004.458,377.51,0.07,376.95,0.06
2004,7,2004.542,375.96,0.07,377.15,0.06
2004,8,2004.625,374.49,0.10,377.13,0.06
2004,9,2004.708,374.39,0.08,377.06,0.06
2004,10,2004.792,375.73,0.07,377.23,0.06
2004,11,2004.875,377.20,0.09,377.49,0.06
2004,12,2004.958,378.17,0.08,377.69,0.05
2005,1,2005.042,378.73,0.09,377.75,0.05
2005,2,2005.125,379.27,0.11,377.95,0.05
2005,3,2005.208,379.87,0.10,378.26,0.05
2005,4,2005.292,380.32,0.07,378.51,0.05
2005,5,2005.375,380.42,0.07,378.81,0.05
2005,6,2005.458,379.60,0.06,379.01,0.04
2005,7,2005.542,377.94,0.08,379.11,0.04
2005,8,2005.625,376.73,0.10,379.37,0.04
2005,9,2005.708,376.76,0.08,379.47,0.04
2005,10,2005.792,378.07,0.09,379.64,0.04
2005,11,2005.875,379.53,0.11,379.86,0.04
2005,12,2005.958,380.53,0.09,380.05,0.05
2006,1,2006.042,381.33,0.07,380.32,0.05
2006,2,2006.125,381.95,0.08,380.58,0.05
2006,3,2006.208,382.34,0.09,380.70,0.05
2006,4,2006.292,382.67,0.08,380.84,0.05
2006,5,2006.375,382.63,0.08,380.97,0.05
2006,6,2006.458,381.76,0.07,381.14,0.05
2006,7,2006.542,380.07,0.06,381.27,0.05
2006,8,2006.625,378.49,0.10,381.21,0.05
2006,9,2006.708,378.63,0.08,381.40,0.05
2006,10,2006.792,380.08,0.09,381.67,0.05
2006,11,2006.875,381.44,0.07,381.76,0.05
2006,12,2006.958,382.39,0.05,381.92,0.05
2007,1,2007.042,383.03,0.07,382.00,0.05
2007,2,2007.125,383.55,0.09,382.14,0.05
2007,3,2007.208,384.02,0.10,382.36,0.04
2007,4,2007.292,384.28,0.09,382.45,0.04
2007,5,2007.375,384.13,0.06,382.50,0.04
2007,6,2007.458,383.26,0.06,382.69,0.04
2007,7,2007.542,381.55,0.09,382.82,0.04
2007,8,2007.625,380.29,0.08,383.06,0.04
2007,9,2007.708,380.68,0.08,383.46,0.04
2007,10,2007.792,382.10,0.08,383.65,0.04
2007,11,2007.875,383.45,0.07,383.73,0.04
2007,12,2007.958,384.46,0.06,383.96,0.05
2008,1,2008.042,385.23,0.07,384.20,0.05
2008,2,2008.125,385.74,0.10,384.35,0.05
2008,3,2008.208,386.15,0.09,384.51,0.05
2008,4,2008.292,386.53,0.07,384.73,0.05
2008,5,2008.375,386.49,0.08,384.86,0.05
2008,6,2008.458,385.58,0.05,385.02,0.05
2008,7,2008.542,384.10,0.08,385.42,0.05
2008,8,2008.625,382.77,0.09,385.57,0.05
2008,9,2008.708,382.54,0.06,385.29,0.05
2008,10,2008.792,383.67,0.07,385.15,0.05
2008,11,2008.875,385.18,0.06,385.41,0.05
2008,12,2008.958,386.27,0.06,385.74,0.05
2009,1,2009.042,387.03,0.07,385.98,0.05
2009,2,2009.125,387.48,0.07,386.06,0.04
2009,3,2009.208,387.71,0.08,386.05,0.04
2009,4,2009.292,387.99,0.08,386.18,0.04
2009,5,2009.375,387.95,0.06,386.35,0.04
2009,6,2009.458,386.96,0.05,386.46,0.04
2009,7,2009.542,385.01,0.15,386.42,0.04
2009,8,2009.625,383.63,0.14,386.50,0.03
2009,9,2009.708,383.93,0.10,386.66,0.03
2009,10,2009.792,385.50,0.11,386.92,0.03
2009,11,2009.875,386.94,0.09,387.12,0.03
2009,12,2009.958,387.84,0.07,387.28,0.03
2010,1,2010.042,388.62,0.08,387.60,0.04
2010,2,2010.125,389.33,0.10,387.94,0.05
2010,3,2010.208,389.68,0.11,388.03,0.05
2010,4,2010.292,389.98,0.13,388.17,0.05
2010,5,2010.375,389.95,0.16,388.35,0.06
2010,6,2010.458,389.01,0.12,388.52,0.06
2010,7,2010.542,387.35,0.16,388.74,0.06
2010,8,2010.625,386.23,0.12,389.04,0.06
2010,9,2010.708,386.70,0.10,389.40,0.06
2010,10,2010.792,388.25,0.10,389.68,0.06
2010,11,2010.875,389.62,0.11,389.80,0.06
2010,12,2010.958,390.36,0.09,389.82,0.05
2011,1,2011.042,390.93,0.09,389.89,0.05
2011,2,2011.125,391.36,0.07,389.93,0.05
2011,3,2011.208,391.67,0.08,390.03,0.05
2011,4,2011.292,392.05,0.09,390.24,0.05
2011,5,2011.375,392.08,0.09,390.45,0.05
2011,6,2011.458,391.14,0.07,390.64,0.05
2011,7,2011.542,389.20,0.18,390.57,0.05
2011,8,2011.625,387.88,0.19,390.66,0.05
2011,9,2011.708,388.27,0.14,390.99,0.05
2011,10,2011.792,389.83,0.13,391.30,0.05
2011,11,2011.875,391.19,0.11,391.42,0.05
2011,12,2011.958,392.02,0.09,391.51,0.05
2012,1,2012.042,392.61,0.10,391.55,0.05
2012,2,2012.125,393.20,0.16,391.78,0.05
2012,3,2012.208,393.73,0.14,392.08,0.06
2012,4,2012.292,393.99,0.11,392.20,0.06
2012,5,2012.375,393.88,0.09,392.27,0.06
2012,6,2012.458,392.84,0.06,392.36,0.06
2012,7,2012.542,391.00,0.12,392.42,0.06
2012,8,2012.625,389.89,0.15,392.73,0.06
2012,9,2012.708,390.55,0.11,393.27,0.06
2012,10,2012.792,392.16,0.13,393.59,0.06
2012,11,2012.875,393.56,0.11,393.73,0.05
2012,12,2012.958,394.39,0.10,393.82,0.05
2013,1,2013.042,395.07,0.09,394.08,0.05
2013,2,2013.125,395.70,0.12,394.34,0.05
2013,3,2013.208,396.29,0.09,394.66,0.05
2013,4,2013.292,396.74,0.08,394.94,0.05
2013,5,2013.375,396.75,0.10,395.14,0.06
2013,6,2013.458,395.96,0.07,395.45,0.06
2013,7,2013.542,394.47,0.20,395.83,0.06
2013,8,2013.625,393.23,0.16,396.01,0.06
2013,9,2013.708,393.21,0.13,395.88,0.06
2013,10,2013.792,394.51,0.13,395.93,0.06
2013,11,2013.875,395.96,0.10,396.16,0.06
2013,12,2013.958,396.88,0.08,396.35,0.06
2014,1,2014.042,397.51,0.08,396.45,0.06
2014,2,2014.125,397.97,0.08,396.53,0.06
2014,3,2014.208,398.27,0.07,396.60,0.06
2014,4,2014.292,398.63,0.06,396.78,0.06
2014,5,2014.375,398.69,0.07,397.03,0.06
2014,6,2014.458,397.72,0.10,397.16,0.06
2014,7,2014.542,396.13,0.15,397.45,0.06
2014,8,2014.625,395.02,0.14,397.83,0.06
2014,9,2014.708,395.12,0.10,397.89,0.06
2014,10,2014.792,396.38,0.10,397.91,0.06
2014,11,2014.875,397.86,0.08,398.16,0.05
2014,12,2014.958,398.84,0.08,398.35,0.05
2015,1,2015.042,399.56,0.07,398.52,0.05
2015,2,2015.125,400.12,0.07,398.69,0.05
2015,3,2015.208,400.57,0.07,398.86,0.05
2015,4,2015.292,400.96,0.07,399.09,0.05
2015,5,2015.375,400.91,0.10,399.27,0.05
2015,6,2015.458,400.06,0.11,399.50,0.05
2015,7,2015.542,398.38,0.09,399.66,0.05
2015,8,2015.625,397.07,0.13,399.85,0.06
2015,9,2015.708,397.34,0.09,400.14,0.06
2015,10,2015.792,398.80,0.12,400.37,0.06
2015,11,2015.875,400.37,0.12,400.68,0.06
2015,12,2015.958,401.66,0.10,401.17,0.06
2016,1,2016.042,402.62,0.08,401.59,0.06
2016,2,2016.125,403.26,0.09,401.86,0.06
2016,3,2016.208,403.85,0.08,402.18,0.06
2016,4,2016.292,404.36,0.07,402.50,0.06
2016,5,2016.375,404.41,0.09,402.76,0.06
2016,6,2016.458,403.62,0.10,403.03,0.07
2016,7,2016.542,402.10,0.08,403.31,0.07
2016,8,2016.625,400.78,0.09,403.52,0.07
2016,9,2016.708,400.96,0.11,403.76,0.07
2016,10,2016.792,402.41,0.09,404.00,0.07
2016,11,2016.875,403.76,0.09,404.09,0.07
2016,12,2016.958,404.67,0.08,404.19,0.07
2017,1,2017.042,405.32,0.07,404.25,0.07
2017,2,2017.125,405.91,0.09,404.47,0.07
2017,3,2017.208,406.32,0.09,404.63,0.07
2017,4,2017.292,406.60,0.10,404.73,0.07
2017,5,2017.375,406.64,0.13,405.00,0.07
2017,6,2017.458,405.85,0.11,405.28,0.07
2017,7,2017.542,404.10,0.10,405.37,0.07
2017,8,2017.625,402.57,0.16,405.39,0.07
2017,9,2017.708,402.66,0.16,405.50,0.07
2017,10,2017.792,404.16,0.10,405.74,0.07
2017,11,2017.875,405.70,0.08,406.00,0.07
2017,12,2017.958,406.75,0.08,406.23,0.07
2018,1,2018.042,407.53,0.11,406.48,0.07
2018,2,2018.125,408.23,0.10,406.85,0.07
2018,3,2018.208,408.77,0.09,407.12,0.07
2018,4,2018.292,409.07,0.08,407.24,0.07
2018,5,2018.375,408.93,0.09,407.30,0.07
2018,6,2018.458,408.06,0.08,407.47,0.07
2018,7,2018.542,406.48,0.09,407.76,0.07
2018,8,2018.625,405.11,0.13,407.95,0.07
2018,9,2018.708,405.18,0.13,408.03,0.07
2018,10,2018.792,406.65,0.09,408.20,0.07
2018,11,2018.875,408.12,0.09,408.34,0.07
2018,12,2018.958,409.19,0.09,408.60,0.08
2019,1,2019.042,409.92,0.11,408.90,0.08
2019,2,2019.125,410.34,0.11,408.99,0.08
2019,3,2019.208,410.89,0.11,409.24,0.08
2019,4,2019.292,411.33,0.10,409.50,0.08
2019,5,2019.375,411.34,0.08,409.70,0.08
2019,6,2019.458,410.53,0.08,409.95,0.08
2019,7,2019.542,408.88,0.12,410.17,0.07
2019,8,2019.625,407.64,0.13,410.48,0.07
2019,9,2019.708,407.92,0.11,410.75,0.07
2019,10,2019.792,409.44,0.11,410.97,0.07
2019,11,2019.875,410.87,0.11,411.05,0.07
