# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Feb  5 10:25:16 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1992,7,1992.542,1728.82,1.04,1735.64,0.55
1992,8,1992.625,1730.32,0.83,1735.62,0.54
1992,9,1992.708,1734.61,0.64,1735.54,0.53
1992,10,1992.792,1737.68,0.88,1735.42,0.52
1992,11,1992.875,1739.22,1.16,1735.29,0.51
1992,12,1992.958,1738.56,1.03,1735.17,0.51
1993,1,1993.042,1735.80,0.99,1735.10,0.49
1993,2,1993.125,1734.35,1.02,1735.09,0.48
1993,3,1993.208,1735.37,0.93,1735.14,0.47
1993,4,1993.292,1736.61,0.80,1735.28,0.47
1993,5,1993.375,1734.99,0.76,1735.49,0.47
1993,6,1993.458,1730.87,0.85,1735.78,0.48
1993,7,1993.542,1728.03,1.02,1736.15,0.49
1993,8,1993.625,1731.13,0.94,1736.58,0.51
1993,9,1993.708,1738.45,0.97,1737.06,0.54
1993,10,1993.792,1743.39,1.17,1737.57,0.57
1993,11,1993.875,1745.20,0.88,1738.12,0.59
1993,12,1993.958,1744.29,1.01,1738.68,0.61
1994,1,1994.042,1741.45,0.94,1739.27,0.62
1994,2,1994.125,1740.87,1.11,1739.84,0.63
1994,3,1994.208,1741.94,1.01,1740.42,0.62
1994,4,1994.292,1741.96,0.77,1741.02,0.62
1994,5,1994.375,1740.63,1.06,1741.63,0.60
1994,6,1994.458,1736.88,1.21,1742.24,0.59
1994,7,1994.542,1732.41,1.14,1742.86,0.57
1994,8,1994.625,1734.06,1.12,1743.50,0.55
1994,9,1994.708,1742.89,0.83,1744.12,0.53
1994,10,1994.792,1749.77,0.78,1744.74,0.52
1994,11,1994.875,1751.21,0.89,1745.35,0.52
1994,12,1994.958,1751.61,0.89,1745.94,0.51
1995,1,1995.042,1751.15,0.93,1746.52,0.51
1995,2,1995.125,1749.48,1.00,1747.03,0.51
1995,3,1995.208,1748.98,0.69,1747.51,0.51
1995,4,1995.292,1749.44,0.82,1747.96,0.51
1995,5,1995.375,1747.64,1.06,1748.36,0.50
1995,6,1995.458,1742.82,0.94,1748.71,0.49
1995,7,1995.542,1740.17,0.80,1749.01,0.48
1995,8,1995.625,1743.58,1.04,1749.28,0.47
1995,9,1995.708,1749.78,1.12,1749.50,0.46
1995,10,1995.792,1754.36,0.80,1749.69,0.47
1995,11,1995.875,1755.49,0.94,1749.85,0.48
1995,12,1995.958,1753.86,0.96,1750.01,0.51
1996,1,1996.042,1752.25,1.06,1750.17,0.54
1996,2,1996.125,1752.73,1.03,1750.32,0.58
1996,3,1996.208,1752.23,0.90,1750.49,0.62
1996,4,1996.292,1749.61,0.99,1750.67,0.65
1996,5,1996.375,1748.30,1.06,1750.87,0.69
1996,6,1996.458,1746.04,1.05,1751.07,0.71
1996,7,1996.542,1742.06,1.07,1751.29,0.73
1996,8,1996.625,1744.28,1.31,1751.52,0.73
1996,9,1996.708,1752.63,1.30,1751.75,0.73
1996,10,1996.792,1758.90,0.96,1751.98,0.71
1996,11,1996.875,1760.02,0.96,1752.21,0.68
1996,12,1996.958,1756.92,0.89,1752.44,0.65
1997,1,1997.042,1753.41,0.91,1752.68,0.61
1997,2,1997.125,1753.84,1.16,1752.92,0.57
1997,3,1997.208,1755.66,0.86,1753.17,0.53
1997,4,1997.292,1755.55,0.96,1753.46,0.48
1997,5,1997.375,1753.80,0.77,1753.80,0.44
1997,6,1997.458,1750.08,0.96,1754.20,0.41
1997,7,1997.542,1746.06,0.95,1754.67,0.39
1997,8,1997.625,1747.74,0.95,1755.23,0.39
1997,9,1997.708,1754.97,0.99,1755.87,0.39
1997,10,1997.792,1760.30,0.77,1756.62,0.41
1997,11,1997.875,1761.70,0.96,1757.46,0.43
1997,12,1997.958,1761.89,0.76,1758.40,0.45
1998,1,1998.042,1761.46,0.75,1759.43,0.48
1998,2,1998.125,1761.43,1.14,1760.49,0.50
1998,3,1998.208,1762.93,1.31,1761.60,0.52
1998,4,1998.292,1764.72,0.93,1762.77,0.55
1998,5,1998.375,1764.24,0.86,1763.96,0.57
1998,6,1998.458,1760.32,0.79,1765.13,0.59
1998,7,1998.542,1756.17,1.18,1766.26,0.62
1998,8,1998.625,1760.19,1.07,1767.35,0.64
1998,9,1998.708,1770.66,1.27,1768.34,0.66
1998,10,1998.792,1776.24,1.20,1769.23,0.68
1998,11,1998.875,1775.46,0.87,1770.03,0.70
1998,12,1998.958,1774.04,0.82,1770.71,0.71
1999,1,1999.042,1773.81,0.97,1771.30,0.71
1999,2,1999.125,1773.88,1.44,1771.76,0.71
1999,3,1999.208,1774.57,1.12,1772.14,0.71
1999,4,1999.292,1774.98,0.82,1772.44,0.71
1999,5,1999.375,1772.65,0.94,1772.68,0.70
1999,6,1999.458,1767.33,0.92,1772.86,0.69
1999,7,1999.542,1762.96,0.90,1772.99,0.69
1999,8,1999.625,1764.61,1.03,1773.09,0.69
1999,9,1999.708,1771.00,0.95,1773.17,0.70
1999,10,1999.792,1776.62,0.94,1773.23,0.71
1999,11,1999.875,1778.53,0.86,1773.27,0.73
1999,12,1999.958,1777.23,0.85,1773.30,0.75
2000,1,2000.042,1775.53,1.11,1773.31,0.77
2000,2,2000.125,1775.43,1.38,1773.31,0.79
2000,3,2000.208,1776.47,1.39,1773.30,0.80
2000,4,2000.292,1777.23,1.32,1773.25,0.81
2000,5,2000.375,1774.56,1.28,1773.18,0.81
2000,6,2000.458,1768.12,1.22,1773.09,0.81
2000,7,2000.542,1763.48,0.89,1772.96,0.80
2000,8,2000.625,1765.45,1.07,1772.81,0.78
2000,9,2000.708,1772.04,1.11,1772.64,0.77
2000,10,2000.792,1777.11,0.85,1772.44,0.74
2000,11,2000.875,1777.72,0.99,1772.24,0.72
2000,12,2000.958,1775.31,1.14,1772.03,0.70
2001,1,2001.042,1772.90,0.93,1771.82,0.68
2001,2,2001.125,1772.51,0.94,1771.63,0.67
2001,3,2001.208,1773.65,0.94,1771.47,0.65
2001,4,2001.292,1773.89,0.69,1771.31,0.64
2001,5,2001.375,1770.75,0.83,1771.19,0.63
2001,6,2001.458,1765.84,0.98,1771.10,0.61
2001,7,2001.542,1762.79,1.03,1771.04,0.60
2001,8,2001.625,1764.30,0.98,1771.02,0.59
2001,9,2001.708,1770.36,0.87,1771.02,0.57
2001,10,2001.792,1775.50,0.75,1771.06,0.56
2001,11,2001.875,1776.56,0.87,1771.11,0.54
2001,12,2001.958,1775.92,1.18,1771.19,0.52
2002,1,2002.042,1774.12,1.29,1771.30,0.51
2002,2,2002.125,1772.81,1.04,1771.41,0.51
2002,3,2002.208,1773.39,0.64,1771.54,0.51
2002,4,2002.292,1772.77,0.69,1771.70,0.52
2002,5,2002.375,1770.30,0.70,1771.89,0.53
2002,6,2002.458,1766.90,0.82,1772.10,0.55
2002,7,2002.542,1764.23,0.91,1772.35,0.57
2002,8,2002.625,1766.85,1.01,1772.64,0.59
2002,9,2002.708,1773.66,0.97,1772.96,0.61
2002,10,2002.792,1778.27,1.27,1773.34,0.61
2002,11,2002.875,1779.49,1.17,1773.76,0.61
2002,12,2002.958,1779.65,0.85,1774.23,0.60
2003,1,2003.042,1777.56,1.03,1774.75,0.58
2003,2,2003.125,1774.81,1.01,1775.27,0.56
2003,3,2003.208,1774.84,0.91,1775.82,0.54
2003,4,2003.292,1775.82,1.48,1776.40,0.52
2003,5,2003.375,1774.45,1.28,1776.97,0.50
2003,6,2003.458,1771.68,1.13,1777.52,0.49
2003,7,2003.542,1770.72,1.68,1778.03,0.48
2003,8,2003.625,1774.29,1.46,1778.48,0.48
2003,9,2003.708,1780.56,0.93,1778.84,0.48
2003,10,2003.792,1784.70,0.80,1779.11,0.49
2003,11,2003.875,1785.26,0.99,1779.27,0.49
2003,12,2003.958,1783.56,0.97,1779.32,0.50
2004,1,2004.042,1780.89,0.93,1779.24,0.50
2004,2,2004.125,1779.95,0.89,1779.07,0.50
2004,3,2004.208,1780.95,0.80,1778.79,0.50
2004,4,2004.292,1780.73,0.87,1778.41,0.50
2004,5,2004.375,1777.57,1.04,1777.96,0.50
2004,6,2004.458,1772.29,1.11,1777.46,0.51
2004,7,2004.542,1768.05,0.83,1776.93,0.52
2004,8,2004.625,1769.78,0.92,1776.38,0.53
2004,9,2004.708,1775.50,1.02,1775.87,0.54
2004,10,2004.792,1779.70,0.83,1775.40,0.55
2004,11,2004.875,1780.47,0.99,1774.99,0.56
2004,12,2004.958,1778.33,0.94,1774.66,0.56
2005,1,2005.042,1776.19,1.12,1774.41,0.57
2005,2,2005.125,1775.72,0.94,1774.25,0.58
2005,3,2005.208,1775.57,1.01,1774.16,0.59
2005,4,2005.292,1774.81,0.90,1774.15,0.61
2005,5,2005.375,1772.50,0.76,1774.19,0.62
2005,6,2005.458,1768.80,1.04,1774.28,0.64
2005,7,2005.542,1766.42,0.90,1774.40,0.65
2005,8,2005.625,1768.15,1.06,1774.53,0.66
2005,9,2005.708,1773.24,1.22,1774.65,0.67
2005,10,2005.792,1778.59,1.27,1774.74,0.66
2005,11,2005.875,1781.23,0.94,1774.81,0.65
2005,12,2005.958,1780.26,1.32,1774.84,0.64
2006,1,2006.042,1779.54,0.98,1774.84,0.62
2006,2,2006.125,1779.45,1.01,1774.81,0.60
2006,3,2006.208,1777.38,0.80,1774.77,0.58
2006,4,2006.292,1776.13,0.62,1774.73,0.57
2006,5,2006.375,1774.91,1.03,1774.71,0.55
2006,6,2006.458,1769.22,1.39,1774.72,0.55
2006,7,2006.542,1764.18,1.25,1774.79,0.55
2006,8,2006.625,1767.23,1.26,1774.94,0.55
2006,9,2006.708,1774.59,1.24,1775.17,0.56
2006,10,2006.792,1778.25,0.83,1775.49,0.56
2006,11,2006.875,1779.02,0.81,1775.90,0.57
2006,12,2006.958,1779.92,0.85,1776.40,0.57
2007,1,2007.042,1779.23,1.03,1776.99,0.58
2007,2,2007.125,1778.59,1.08,1777.61,0.58
2007,3,2007.208,1780.23,0.90,1778.29,0.59
2007,4,2007.292,1781.13,0.96,1779.01,0.60
2007,5,2007.375,1779.47,1.27,1779.76,0.61
2007,6,2007.458,1775.61,1.11,1780.49,0.62
2007,7,2007.542,1772.60,1.11,1781.21,0.64
2007,8,2007.625,1777.19,1.42,1781.91,0.65
2007,9,2007.708,1785.87,1.43,1782.56,0.66
2007,10,2007.792,1789.86,1.06,1783.17,0.68
2007,11,2007.875,1789.52,1.02,1783.74,0.69
2007,12,2007.958,1788.19,1.27,1784.28,0.71
2008,1,2008.042,1786.70,1.39,1784.81,0.72
2008,2,2008.125,1785.79,1.22,1785.30,0.73
2008,3,2008.208,1786.14,1.24,1785.78,0.74
2008,4,2008.292,1786.90,1.01,1786.29,0.74
2008,5,2008.375,1785.20,0.96,1786.80,0.74
2008,6,2008.458,1780.46,0.88,1787.33,0.73
2008,7,2008.542,1777.66,0.91,1787.88,0.72
2008,8,2008.625,1781.05,1.06,1788.46,0.70
2008,9,2008.708,1787.66,1.06,1789.04,0.68
2008,10,2008.792,1793.69,0.90,1789.63,0.66
2008,11,2008.875,1797.29,1.49,1790.21,0.64
2008,12,2008.958,1796.60,1.47,1790.78,0.62
2009,1,2009.042,1795.10,1.04,1791.34,0.61
2009,2,2009.125,1795.58,1.20,1791.85,0.60
2009,3,2009.208,1795.93,1.13,1792.33,0.61
2009,4,2009.292,1795.57,0.83,1792.79,0.62
2009,5,2009.375,1792.39,0.74,1793.20,0.64
2009,6,2009.458,1786.94,0.79,1793.59,0.66
2009,7,2009.542,1785.04,1.05,1793.95,0.68
2009,8,2009.625,1788.90,0.97,1794.29,0.69
2009,9,2009.708,1794.82,1.23,1794.61,0.70
2009,10,2009.792,1798.02,1.28,1794.93,0.71
2009,11,2009.875,1797.85,0.76,1795.25,0.71
2009,12,2009.958,1796.67,1.05,1795.58,0.71
2010,1,2010.042,1797.14,1.34,1795.93,0.70
2010,2,2010.125,1798.76,1.20,1796.28,0.69
2010,3,2010.208,1799.44,1.09,1796.66,0.68
2010,4,2010.292,1799.60,0.98,1797.07,0.68
2010,5,2010.375,1797.62,1.24,1797.50,0.68
2010,6,2010.458,1792.46,1.30,1797.95,0.68
2010,7,2010.542,1789.44,0.98,1798.40,0.68
2010,8,2010.625,1794.09,1.18,1798.88,0.68
2010,9,2010.708,1801.86,1.25,1799.35,0.69
2010,10,2010.792,1806.60,1.08,1799.81,0.68
2010,11,2010.875,1807.03,1.03,1800.27,0.68
2010,12,2010.958,1803.59,1.15,1800.73,0.68
2011,1,2011.042,1800.48,1.19,1801.18,0.67
2011,2,2011.125,1800.16,0.95,1801.60,0.66
2011,3,2011.208,1800.96,0.68,1802.00,0.65
2011,4,2011.292,1802.92,0.80,1802.42,0.65
2011,5,2011.375,1803.32,0.88,1802.83,0.65
2011,6,2011.458,1799.15,0.81,1803.23,0.65
2011,7,2011.542,1796.24,1.04,1803.63,0.65
2011,8,2011.625,1799.08,1.00,1804.03,0.66
2011,9,2011.708,1804.07,1.53,1804.44,0.67
2011,10,2011.792,1809.58,1.57,1804.84,0.67
2011,11,2011.875,1812.36,1.22,1805.25,0.67
2011,12,2011.958,1810.04,1.07,1805.67,0.67
2012,1,2012.042,1807.40,1.06,1806.11,0.67
2012,2,2012.125,1808.36,1.29,1806.53,0.67
2012,3,2012.208,1810.04,0.84,1806.95,0.67
2012,4,2012.292,1808.50,0.63,1807.40,0.67
2012,5,2012.375,1804.76,1.21,1807.85,0.67
2012,6,2012.458,1801.00,1.27,1808.29,0.67
2012,7,2012.542,1799.39,1.21,1808.72,0.67
2012,8,2012.625,1803.30,0.97,1809.16,0.67
2012,9,2012.708,1810.15,1.08,1809.57,0.66
2012,10,2012.792,1814.85,0.98,1809.96,0.66
2012,11,2012.875,1815.94,1.23,1810.34,0.65
2012,12,2012.958,1814.58,0.96,1810.70,0.64
2013,1,2013.042,1814.08,0.99,1811.05,0.64
2013,2,2013.125,1814.13,1.44,1811.37,0.63
2013,3,2013.208,1813.24,1.07,1811.69,0.63
2013,4,2013.292,1812.84,0.66,1812.02,0.63
2013,5,2013.375,1811.93,0.95,1812.36,0.64
2013,6,2013.458,1808.60,1.31,1812.72,0.64
2013,7,2013.542,1806.00,1.60,1813.13,0.63
2013,8,2013.625,1808.53,1.10,1813.59,0.63
2013,9,2013.708,1814.25,0.90,1814.10,0.63
2013,10,2013.792,1818.52,0.74,1814.69,0.62
2013,11,2013.875,1820.33,0.75,1815.35,0.61
2013,12,2013.958,1819.34,0.96,1816.10,0.60
2014,1,2014.042,1816.84,1.04,1816.94,0.60
2014,2,2014.125,1816.31,1.36,1817.82,0.59
2014,3,2014.208,1818.07,1.32,1818.77,0.58
2014,4,2014.292,1820.89,0.75,1819.81,0.58
2014,5,2014.375,1821.88,0.82,1820.90,0.58
2014,6,2014.458,1818.29,0.81,1822.03,0.57
2014,7,2014.542,1815.54,1.10,1823.17,0.57
2014,8,2014.625,1819.69,1.17,1824.34,0.56
2014,9,2014.708,1826.81,1.07,1825.48,0.56
2014,10,2014.792,1831.20,0.59,1826.59,0.55
2014,11,2014.875,1833.00,0.69,1827.68,0.54
2014,12,2014.958,1833.54,1.08,1828.72,0.54
2015,1,2015.042,1833.11,1.15,1829.75,0.53
2015,2,2015.125,1832.91,0.99,1830.68,0.52
2015,3,2015.208,1833.20,0.74,1831.58,0.52
2015,4,2015.292,1833.20,0.97,1832.47,0.52
2015,5,2015.375,1831.54,1.04,1833.33,0.52
2015,6,2015.458,1827.13,0.84,1834.16,0.53
2015,7,2015.542,1824.61,0.98,1834.98,0.54
2015,8,2015.625,1828.99,1.07,1835.79,0.55
2015,9,2015.708,1836.24,0.95,1836.58,0.57
2015,10,2015.792,1841.51,0.81,1837.36,0.59
2015,11,2015.875,1844.59,1.04,1838.13,0.61
2015,12,2015.958,1844.77,1.25,1838.88,0.63
2016,1,2016.042,1842.42,0.91,1839.64,0.66
2016,2,2016.125,1841.63,1.18,1840.33,0.68
2016,3,2016.208,1842.97,0.92,1841.00,0.69
2016,4,2016.292,1843.76,0.83,1841.68,0.70
2016,5,2016.375,1842.12,1.08,1842.32,0.71
2016,6,2016.458,1837.82,1.20,1842.93,0.71
2016,7,2016.542,1834.18,1.17,1843.51,0.71
2016,8,2016.625,1836.69,1.28,1844.08,0.70
2016,9,2016.708,1844.18,1.34,1844.60,0.68
2016,10,2016.792,1849.88,1.17,1845.11,0.66
2016,11,2016.875,1851.42,1.28,1845.60,0.64
2016,12,2016.958,1851.05,1.09,1846.08,0.62
2017,1,2017.042,1849.71,0.99,1846.57,0.60
2017,2,2017.125,1848.38,1.23,1847.04,0.59
2017,3,2017.208,1848.17,1.38,1847.51,0.58
2017,4,2017.292,1848.56,1.16,1848.02,0.58
2017,5,2017.375,1847.14,0.89,1848.54,0.59
2017,6,2017.458,1842.93,0.91,1849.08,0.61
2017,7,2017.542,1840.40,1.40,1849.65,0.62
2017,8,2017.625,1844.61,1.30,1850.25,0.64
2017,9,2017.708,1852.70,1.00,1850.86,0.66
2017,10,2017.792,1857.99,1.07,1851.50,0.68
2017,11,2017.875,1858.50,0.95,1852.17,0.70
2017,12,2017.958,1856.51,1.06,1852.85,0.71
2018,1,2018.042,1854.46,1.10,1853.56,0.73
2018,2,2018.125,1854.96,0.98,1854.26,0.74
2018,3,2018.208,1856.85,1.06,1854.96,0.75
2018,4,2018.292,1856.70,1.13,1855.70,0.77
2018,5,2018.375,1854.81,1.49,1856.45,0.78
2018,6,2018.458,1852.00,1.51,1857.20,0.79
2018,7,2018.542,1849.10,1.67,1857.95,0.80
2018,8,2018.625,1851.92,1.79,1858.70,0.81
2018,9,2018.708,1860.48,0.95,1859.44,0.81
2018,10,2018.792,1865.77,1.00,1860.17,0.81
2018,11,2018.875,1866.25,1.08,1860.89,0.80
2018,12,2018.958,1866.02,1.01,1861.61,0.79
2019,1,2019.042,1865.00,1.02,1862.33,0.77
2019,2,2019.125,1865.01,0.74,1863.01,0.74
2019,3,2019.208,1866.30,0.80,1863.69,0.72
2019,4,2019.292,1865.33,0.69,1864.41,0.69
2019,5,2019.375,1861.97,1.14,1865.13,0.65
2019,6,2019.458,1858.78,1.28,1865.88,0.61
2019,7,2019.542,1858.25,1.46,1866.65,0.58
2019,8,2019.625,1862.90,1.48,1867.46,0.55
2019,9,2019.708,1870.78,1.10,1868.31,0.53
2019,10,2019.792,1875.40,1.11,1869.19,0.51
2019,11,2019.875,1875.54,1.14,1870.13,0.51
2019,12,2019.958,1874.67,0.85,1871.11,0.51
2020,1,2020.042,1873.16,1.12,1872.18,0.52
2020,2,2020.125,1872.73,1.02,1873.22,0.53
2020,3,2020.208,1874.71,0.75,1874.31,0.54
2020,4,2020.292,1875.89,1.13,1875.50,0.55
2020,5,2020.375,1874.31,1.08,1876.72,0.55
2020,6,2020.458,1871.85,1.05,1877.97,0.56
2020,7,2020.542,1871.51,1.22,1879.25,0.55
2020,8,2020.625,1876.53,1.19,1880.58,0.55
